lag_1,lag_2,lag_3,lag_4,lag_96,rolling_std_4,bot_score
0.753012,0.777398,0.778309,0.765167,1.0,0.012215808893261999,0.776488
0.776488,0.753012,0.777398,0.778309,0.802741,0.01145280204433394,0.772846
0.772846,0.776488,0.753012,0.777398,0.806656,0.01197573379797802,0.779614
0.779614,0.772846,0.776488,0.753012,0.782846,0.002818693314291513,0.775228
0.775228,0.779614,0.772846,0.776488,0.787702,0.0029766454693214294,0.773893
0.773893,0.775228,0.779614,0.772846,0.785957,0.008580369630734599,0.759795
0.759795,0.773893,0.775228,0.779614,0.783666,0.013006854279572431,0.791587
0.791587,0.759795,0.773893,0.775228,0.784197,0.023985486973029397,0.815397
0.815397,0.791587,0.759795,0.773893,0.78667,0.04233577322233955,0.860299
0.860299,0.815397,0.791587,0.759795,0.78016,0.03084867302926814,0.846095
0.846095,0.860299,0.815397,0.791587,0.784136,0.01874955089906677,0.841862
0.841862,0.846095,0.860299,0.815397,0.7689,0.010034728778930465,0.837006
0.837006,0.841862,0.846095,0.860299,0.780661,0.004275847245482084,0.837415
0.837415,0.837006,0.841862,0.846095,0.775244,0.0174059760690603,0.804228
0.804228,0.837415,0.837006,0.841862,0.763938,0.021307340556328727,0.79708
0.79708,0.804228,0.837415,0.837006,0.758566,0.023599255200112582,0.781405
0.781405,0.79708,0.804228,0.837415,0.768051,0.011772854974475933,0.780418
0.780418,0.781405,0.79708,0.804228,0.77623,0.012674775856007873,0.766063
0.766063,0.780418,0.781405,0.79708,0.767717,0.009425893167230293,0.763362
0.763362,0.766063,0.780418,0.781405,0.760448,0.01250987815022074,0.749901
0.749901,0.763362,0.766063,0.780418,0.761207,0.008317408225124567,0.751009
0.751009,0.749901,0.763362,0.766063,0.768506,0.006958562082070961,0.748065
0.748065,0.751009,0.749901,0.763362,0.756093,0.010329925895186115,0.770175
0.770175,0.748065,0.751009,0.749901,0.757883,0.01223227648477734,0.741783
0.741783,0.770175,0.748065,0.751009,0.774879,0.013770737970422525,0.740478
0.740478,0.741783,0.770175,0.748065,0.783423,0.017337365089598714,0.729567
0.729567,0.740478,0.741783,0.770175,0.775319,0.00946269254758039,0.721843
0.721843,0.729567,0.740478,0.741783,0.767808,0.011982189198975009,0.712176
0.712176,0.721843,0.729567,0.740478,0.817673,0.00722476155892822,0.723709
0.723709,0.712176,0.721843,0.729567,0.830663,0.005182208305027941,0.716957
